artist,song,year,genre,streams_billion,duration_ms,loudness_dB;
The Weeknd,Blinding Lights,2020,Pop,4.8660,200000,-5.934;
Ed Sheeran,Shape of You,2017,Pop,4.3882,233000,-3.183;
Lewis Capaldi,Someone You Loved,2019,Pop,3.9237,182000,-5.679;
The Weeknd,Starboy,2016,R&B,3.9221,230000,-7.015;
Harry Styles,As It Was,2022,Pop,3.9016,167000,-7.110;
Post Malone,Sunflower,2018,HipHop,3.8355,158000,-5.574;
The Neighbourhood,Sweater Weather,2013,Indie,3.8101,240000,-2.810;
Drake,One Dance,2016,HipHop,3.6542,173000,-5.609;
The Kid LAROI,STAY,2021,Pop,3.5658,141000,-5.484;
Ed Sheeran,Perfect,2017,Pop,3.461,263000,-6.312;
Imagine Dragons,Believer,2017,Rock,3.4523,204000,-4.374;
Glass Animals,Heat Waves,2020,Indie,3.4041,238000,-6.900;
Billie Eilish,lovely,2018,Pop,3.3337,200000,-10.109;
The Chainsmokers,Closer,2016,Pop,3.2865,244000,-5.599;
James Arthur,Say You Won't Let Go,2016,Pop,3.2776,211000,-5.983;
Tones And I,Dance Monkey,2019,Pop,3.2686,209000,-4.675;
Post Malone,rockstar,2018,HipHop,3.1859,218000,-6.136;
The Chainsmokers,Something Just Like This,2017,Pop,3.1807,247000,-5.207;
Vance Joy,Riptide,2013,Indie,3.1263,204000,-6.694;
Arctic Monkeys,I Wanna Be Yours,2013,Indie,3.0758,183000,-9.345;
Coldplay,Yellow,2000,Rock,3.0549,266000,-7.227;
Hozier,Take Me to Church,2014,Indie,3.0533,241000,-5.303;
Tom Odell,Another Love,2013,Indie,3.0500,244000,-8.532;
Lord Huron,The Night We Met,2015,Indie,3.0266,208000,-9.545;
Harry Styles,Watermelon Sugar,2019,Pop,3.0219,174000,-4.209;
Shawn Mendes,Señorita,2019,Pop,3.0205,190000,-3.022;
OneRepublic,Counting Stars,2014,Pop,2.9890,257000,-4.972;	
Ed Sheeran,Photograph,2014,Pop,2.9566,258000,-5.909;
Dua Lipa,Don't Start Now,2020,Pop,2.9412,183000,-7.543;
Taylor Swift,Cruel Summer,2019,Pop,2.9179,178000,-5.707;
Macklemore,Can't Hold Us,2011,HipHop,2.90331,258000,-4.457;
Juice WRLD,Lucid Dreams,2018,HipHop,2.8956,239000,-7.230;
Travis Scott,goosebumps,2016,HipHop,2.8459,243000,-3.370;
Post Malone,Circles,2019,Pop,2.8403,215000,-3.497;
Queen,Bohemian Rhapsody,1975,Rock,2.8125,147000,-6.147;
The Weeknd,Die For You,2016,R&B,2.8082,260000,-6.005;
Ed Sheeran,Thinking out Loud,2014,Pop,2.7907,281000,-6.061;
Drake,God's Plan,2018,HipHop,2.7860,198000,-5.861;
Justin Bieber,Love Yourself,2015,Pop,2.7858,233000,-9.828;
Coldplay,Viva La Vida,2008,Pop,2.7846,242000,-4.635;
Lady Gaga,Shallow,2018,Pop,2.7840,215000,-6.362;
Bruno Mars,Just the Way You Are,2010,Pop,2.7676,220000,-3.729;
John Legend,All Of Me,2013,Pop,2.7452,269000,-7.064;
Avicii,Wake Me Up,2013,EDM,2.7375,247000,-5.697;
Billie Eilish,bad guy,2019,Pop,2.7372,194000,-10.965;
Imagine Dragons,Thunder,2017,Pop,2.7283,187000,-4.833;
Imagine Dragons,Demons,2012,Rock,2.6911,175000,-3.015;
The Police,Every Breath You Take,1983,Rock,2.6881,253000,-10.943;
Bruno Mars,Locked Out of Heaven,2012,Pop,2.6750,233000,-4.165;
The Weeknd,The Hills,2015,R&B,2.6742,242000,-7.063;
Twenty One Pilots,Stressed Out,2015,Alternative,2.6748,202000,-4.802;
Bruno Mars,When I Was Your Man,2012,Pop,2.6639,213000,-8.648;
Eminem,Without Me,2002,HipHop,2.6576,290000,-5.391;
Bruno Mars,That's What I Like,2016,Pop,2.6566,206000,-6.645;
Kendrick Lamar,HUMBLE,2017,HipHop,2.6535,177000,-9.104;
Billie Eilish,BIRDS OF A FEATHER,2024,Pop,2.6522,210000,-7.981;
The Killers,Mr. Brightside,2004,Rock,2.6503,222000,-18.734;
Arctic Monkeys,Do I Wanna Know?,2013,Indie,2.6026,272000,-7.596;
J. Cole,No Role Modelz,2014,HipHop,2.6019,292000,-8.492;
Linkin Park,In the End,2000,Rock,2.6003,216000,-4.419;
Lady Gaga,Die With A Smile,2024,Pop,2.5795,251000,-7.777;
Eminem,Lose Yourself,2002,HipHop,2.5771,326000,-4.565;
Passenger,Let Her Go,2012,Folk,2.5700,252000,-7.346;
Miley Cyrus,Flowers,2023,Pop,2.5554,200000,-8.760;
Ariana Grande,7 rings,2019,Pop,2.5432,178000,-4.985;
French Montana,Unforgettable,2017,HipHop,2.5322,233000,-5.762;
DJ Snake,Let Me Love You,2016,EDM,2.5282,205000,-8.127;
Olivia Rodrigo,drivers license,2021,Pop,2.5149,242000,-8.854;
Shawn Mendes,Treat You Better,2017,Pop,2.5112,187000,-4.078;
SZA,Kill Bill,2022,R&B,2.5044,153000,-5.250;
Calvin Harris,One Kiss,2018,EDM,2.4657,214000,-3.240;
Justin Bieber,Sorry,2015,Pop,2.4534,200000,-3.669;
Journey,Don't Stop Believin',2001,Rock,2.4427,248000,-7.106;
Olivia Rodrigo,good 4 u,2021,Pop,2.4390,178000,-5.038;
Nirvana,Smells Like Teen Spirit,1991,Rock,2.4355,301000,-4.556;
Shawn Mendes,There's Nothing Holdin' Me Back,2017,Pop,2.4326,199000,-4.063;
The Goo Goo Dolls,Iris,1998,Rock,2.4256,289000,-4.876;
Marshmello,Happier,2018,EDM,2.4118,214000,-2.749;
Tyler The Creator,See You Again,2017,HipHop,2.4062,180000,-7.471;
Elton John,Cold Heart,2021,Pop,2.3963,202000,-3.022;
XXXTENTACION,SAD!,2018,HipHop,2.3904,166000,-10.068;
Jung Kook,Seven,2023,Pop,2.3826,183000,-3.964;
Kendrick Lamar,All The Stars,2018,HipHop,2.3821,232000,-4.946;
Travis Scott,SICKO MODE,2018,HipHop,2.3816,312000,-3.714;
XXXTENTACION,Jocelyn Flores,2017,HipHop,2.3766,119000,-9.144;
Coldplay,The Scientist,2002,Alternative,2.3741,309000,-7.227;
Major Lazer,Lean On,2015,EDM,2.3734,176000,-3.081;
The Weeknd,Save Your Tears,2020,Pop,2.3723,215000,-5.487;
Oasis,Wonderwall,1995,Rock,2.3624,258000,-20.734;
Lil Uzi Vert,XO Tour Llif3,2017,HipHop,2.3501,182000,-3.203;
a-ha,Take on Me,1985,Pop,2.3483,225000,-7.638;
Queen,Don't Stop Me Now,1978,Rock,2.3410,209000,-5.277;
Mark Ronson,Uptown Funk,2015,Pop,2.3407,269000,-7.223;
Dua Lipa,Levitating,2020,Pop,2.3372,203000,-3.183;
Dua Lipa,New Rules,2017,Pop,2.3320,209000,-5.991;
Sam Smith,Too Good At Goodbyes,2017,Pop,2.3158,201000,-8.237;
Adele,Someone Like You,2011,Pop,2.3124,285000,-8.251;
Sam Smith,Stay With Me,2014,Pop,2.3067,172000,-6.444;
Camila Cabello,Havana,2018,Pop,2.2956,217000,-5.948;
Sabrina Carpenter,Espresso,2024,Pop,2.2916,175000,-3.929;
